url,color,size,title,id,description,price,currency,product_type,images_urls,additional
https://daniafurniture.com/products/alva-left-return,,,Alva Left Return,9514181456,"Expand your workspace with the Alva Return. Built specifically as an extension piece to the Alva Desk, it maintains the same industrial look and minimalist profile. The neutral color palette creates a handsome impact on your office and allows you to maximize your productivity.",399,USD,CD_Desk,"['https://cdn.shopify.com/s/files/1/1920/4697/products/D04_DEWA706L-GY_01.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/D04_DEWA706L-GY_02.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/D04_DEWA706L-GY_03.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/D04_DEWA706L-GY_04.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/D04_DEWA706L-GY_006.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/D04_DEWA706L-GY_05.jpg']","{'variant_attributes': 'COLOR: ALVA GREY', 'variant_title': 'ALVA GREY', 'scraped_at': '2022-10-12T17:01:38.325Z', 'barcode': None, 'taxcode': None, 'stock_count': None, 'tags': ['assembly', 'assembly_fee', 'browns_inStock', 'Care_Wood', 'Collection:Alva', 'corona_inStock', 'dupont_inStock', 'FULLPRICE', 'ISP_NO_SPLIT', 'petaluma_inStock', 'prop65:TOLUENE', 'Room:Office', 'type:Home Office', 'type:Office Desks'], 'weight': '66.121 lb', 'requires_shipping': True, 'c_o_l_o_r': 'ALVA GREY'}"
https://daniafurniture.com/products/alva-right-return,,,Alva Right Return,9514181264,"Expand your workspace with the Alva Return. Built specifically as an extension piece to the Alva Desk, it maintains the same industrial look and minimalist profile. The neutral color palette creates a handsome impact on your office and allows you to maximize your productivity.",399,USD,CD_Desk,"['https://cdn.shopify.com/s/files/1/1920/4697/products/D04_DEWA706R-GY_01.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/D04_DEWA706R-GY_02.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/D04_DEWA706R-GY_03.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/D04_DEWA706R-GY_04.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/D04_DEWA706R-GY_006.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/D04_DEWA706R-GY_05.jpg']","{'variant_attributes': 'COLOR: ALVA GREY', 'variant_title': 'ALVA GREY', 'scraped_at': '2022-10-12T17:01:39.408Z', 'barcode': None, 'taxcode': None, 'stock_count': None, 'tags': ['assembly', 'assembly_fee', 'browns_inStock', 'Care_Wood', 'Collection:Alva', 'corona_inStock', 'dupont_inStock', 'FULLPRICE', 'ISP_NO_SPLIT', 'petaluma_inStock', 'prop65:TOLUENE', 'Room:Office', 'type:Home Office', 'type:Office Desks'], 'weight': '66.121 lb', 'requires_shipping': True, 'c_o_l_o_r': 'ALVA GREY'}"
https://daniafurniture.com/products/peruna-leather-left-chaise-sectional,,,Peruna Leather Left Sectional,9514029776,"Overstuffed cushions wrapped in cognac leather, sit snugly into the low rectangular frame of the Peruna Sectional. The look is punctuated with the unique, angular legs in a chrome finish, creating a stunning focal point for your living space. Give yourself room to stretch out or the ability to add a few more guests to the gathering.",4899,USD,UPH_Sectional,"['https://cdn.shopify.com/s/files/1/1920/4697/products/H12_16-A0054-LFS_297.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/PerunaSectional_1200x1000_2762d002-a847-468a-8ed5-d054b4444427.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_IRENE_COFFETABLE_WEB_f29a9fb2-0f2a-4b92-b95f-b28e6b8c2d17.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/Peruna-Sectional-med.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H12_16-A0054-LFS_297_2.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H12_16-A0054-LFS_297_1.jpg']","{'variant_attributes': 'COLOR: COGNAC SK-297', 'variant_title': 'COGNAC SK-297', 'scraped_at': '2022-10-12T17:01:41.615Z', 'barcode': None, 'taxcode': None, 'stock_count': None, 'tags': ['boise_boys', 'browns_inStock', 'Care_Leather', 'Collection:Peruna', 'corona_inStock', 'custom_order', 'custom_UPH', 'dupont_inStock', 'FULLPRICE', 'ISP_NO_SPLIT', 'petaluma_inStock', 'Room:Living Room', 'Sectional Options:Left Hand Facing', 'type:Sectionals', 'Upholstery:Leather'], 'weight': '286.5194 lb', 'requires_shipping': True, 'c_o_l_o_r': 'COGNAC SK-297'}"
https://daniafurniture.com/products/svante-dining-table,,,"Svante 71"" Dining Table",9514028176,"Sleek and strong, the Svante Dining Table is a beautifully bold staple for your dining area. Built to serve for years to come, it is a contemporary piece that features clean lines finished in stainless steel. Comfortably seat six and enjoy quality time with friends and family.",1199,USD,SIDE_Dining Table,"['https://cdn.shopify.com/s/files/1/1920/4697/products/H05_N131T2-DT-WH_01.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_Svante_WEB_4d7688f5-d38c-48d7-a40d-8e00707f7b57.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_N131T2-DT-WH_02.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_N131T2-DT-WH_03.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_N131T2-DT-SMK_02.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_N131T2-DT-SMK_03.jpg']","{'variant_attributes': 'COLOR: WHITE', 'variant_title': 'WHITE', 'scraped_at': '2022-10-12T17:01:42.526Z', 'barcode': None, 'taxcode': None, 'stock_count': None, 'tags': ['browns_inStock', 'Collection:Svante', 'corona_inStock', 'dupont_inStock', 'FULLPRICE', 'ISP_NO_SPLIT', 'petaluma_inStock', 'Room:Dining Room', 'type:Dining Tables', 'type:Rectangular Tables'], 'weight': '220.4005 lb', 'requires_shipping': True, 'c_o_l_o_r': 'WHITE'}"
https://daniafurniture.com/products/laura-chair,,,Laura Chair,9514026000,"The Laura Chair quickly becomes a favorite spot to relax in your living space. As an update on the vintage club chair, its design maintains the all-around comfort, yet incorporates slim lines and fresh angles. The tufted upholstery captures traditional appeal, while the graceful profile down to the tapered legs, creates the modern look.",599,USD,UPH_Accent Chair,"['https://cdn.shopify.com/s/files/1/1920/4697/products/Laura_upd_v2_ef3e33e5-5328-4087-9819-9d81f3f32dab.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/P16_Laura_Sofa_WEB.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/P16_17-2660-1-GY_002_upd.jpg']","{'variant_attributes': 'COLOR: GREY B-641', 'variant_title': 'GREY B-641', 'scraped_at': '2022-10-12T17:01:43.227Z', 'barcode': None, 'taxcode': None, 'stock_count': None, 'tags': ['browns_inStock', 'Care_Fabric', 'Collection:Laura', 'DISC-INC', 'DISCONTINUED', 'FULLPRICE', 'ISP_NO_SPLIT', 'prop65:FORMALDEHYDE', 'Room:Living Room', 'small_space', 'type:Living Room Chairs', 'Upholstery:Fabric', 'upholstery_sale'], 'weight': '81.549 lb', 'requires_shipping': True, 'c_o_l_o_r': 'GREY B-641'}"
https://daniafurniture.com/products/svante-dining-table,,,"Svante 71"" Dining Table",9514028176,"Sleek and strong, the Svante Dining Table is a beautifully bold staple for your dining area. Built to serve for years to come, it is a contemporary piece that features clean lines finished in stainless steel. Comfortably seat six and enjoy quality time with friends and family.",1199,USD,SIDE_Dining Table,"['https://cdn.shopify.com/s/files/1/1920/4697/products/H05_N131T2-DT-SMK_01.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_Svante_WEB_4d7688f5-d38c-48d7-a40d-8e00707f7b57.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_N131T2-DT-WH_02.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_N131T2-DT-WH_03.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_N131T2-DT-SMK_02.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_N131T2-DT-SMK_03.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_N131T2-DT-WH_01.jpg']","{'variant_attributes': 'COLOR: SMOKED OAK', 'variant_title': 'SMOKED OAK', 'scraped_at': '2022-10-12T17:01:42.610Z', 'barcode': None, 'taxcode': None, 'stock_count': None, 'tags': ['browns_inStock', 'Collection:Svante', 'corona_inStock', 'dupont_inStock', 'FULLPRICE', 'ISP_NO_SPLIT', 'petaluma_inStock', 'Room:Dining Room', 'type:Dining Tables', 'type:Rectangular Tables'], 'weight': '220.4005 lb', 'requires_shipping': True, 'c_o_l_o_r': 'SMOKED OAK'}"
https://daniafurniture.com/products/reflections-high-chest,REFLECTIONS CHERRY,,Reflections High Chest,9513544080,Function and form marry in the Reflections High Chest. Two small drawers and three large drawers feature smooth-glide tracks and provide ample storage space. Top drawer features cedar lining. Expertly crafted in Oregon with wood from one of the most sustainable forests in the world.,1999,USD,BED_High Chest,"['https://cdn.shopify.com/s/files/1/1920/4697/products/High-chest-Reflections_v2.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/C36_REF-HighChest2.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/C36_REF-HighChest3.jpg']","{'variant_attributes': 'Color: REFLECTIONS CHERRY', 'variant_title': 'REFLECTIONS CHERRY', 'scraped_at': '2022-10-12T17:01:44.427Z', 'barcode': None, 'taxcode': None, 'stock_count': None, 'tags': ['browns_inStock', 'Collection:Reflections', 'corona_inStock', 'custom_order', 'dupont_inStock', 'FULLPRICE', 'ISP_NO_SPLIT', 'petaluma_inStock', 'Room:Bedroom', 'Sub-Type:High Chests', 'type:Dressers'], 'weight': '119.9998 lb', 'requires_shipping': True}"
https://daniafurniture.com/products/baptisia-end-table,CHERRY,,Baptisia End Table,9514028752,"Resembling a cubist art sculpture, the Baptisia End Table masterfully blends elements of wood and metal. The result is a handsome accent piece for your living space. Tuck into place where you need a little surface space or storage.

*The cherry finish will be lighter in color when new, and may enrich with age.",399,USD,OCC_End Table,"['https://cdn.shopify.com/s/files/1/1920/4697/products/H05_0051_H05_136B4-END-C_01.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/B34_Glenn_Sofa_V4_WEB.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_0050_H05_136B4-END-C_02.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_0049_H05_136B4-END-C_03.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_136B4-END-C_004_a65e366c-e6d0-43fe-816b-8234f2754d93.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_0047_H05_136B4-END-W_02.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_0046_H05_136B4-END-W_03.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_136B4-END-W_004.jpg']","{'variant_attributes': 'Color: CHERRY', 'variant_title': 'CHERRY', 'scraped_at': '2022-10-12T17:01:46.519Z', 'barcode': None, 'taxcode': None, 'stock_count': None, 'tags': ['browns_inStock', 'Collection:Baptisia', 'corona_inStock', 'dupont_inStock', 'FULLPRICE', 'ISP_NO_SPLIT', 'petaluma_inStock', 'Room:Living Room', 'type:End Tables'], 'weight': '46.2794 lb', 'requires_shipping': True}"
https://daniafurniture.com/products/baptisia-end-table,WALNUT,,Baptisia End Table,9514028752,"Resembling a cubist art sculpture, the Baptisia End Table masterfully blends elements of wood and metal. The result is a handsome accent piece for your living space. Tuck into place where you need a little surface space or storage.

*The cherry finish will be lighter in color when new, and may enrich with age.",399,USD,OCC_End Table,"['https://cdn.shopify.com/s/files/1/1920/4697/products/H05_0048_H05_136B4-END-W_01.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/B34_Glenn_Sofa_V4_WEB.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_0050_H05_136B4-END-C_02.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_0049_H05_136B4-END-C_03.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_136B4-END-C_004_a65e366c-e6d0-43fe-816b-8234f2754d93.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_0047_H05_136B4-END-W_02.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_0046_H05_136B4-END-W_03.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_136B4-END-W_004.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/H05_0051_H05_136B4-END-C_01.jpg']","{'variant_attributes': 'Color: WALNUT', 'variant_title': 'WALNUT', 'scraped_at': '2022-10-12T17:01:46.604Z', 'barcode': None, 'taxcode': None, 'stock_count': None, 'tags': ['browns_inStock', 'Collection:Baptisia', 'corona_inStock', 'dupont_inStock', 'FULLPRICE', 'ISP_NO_SPLIT', 'petaluma_inStock', 'Room:Living Room', 'type:End Tables'], 'weight': '46.2794 lb', 'requires_shipping': True}"
https://daniafurniture.com/products/norgaard-extension-dining-table,,,Norgaard Extension Dining Table,9107815824,"Handcrafted in Denmark, the Norgaard Rectangular Dining Table features classic Danish design and ingenuity. A hidden extension leaf in the center rises up easily when the two halves of the table are pulled apart.",1899,USD,SIDE_Dining Table,"['https://cdn.shopify.com/s/files/1/1920/4697/products/S27_SM19-LC_01.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/S27_NORGAARD_DINING_V2_WEB.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/S27_NORGAARD_DINING_V1_WEB.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/S27_SM19-LC_02.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/S27_SM19-LC_03.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/S27_NORGAARD_DINING_GIF_1_WEB.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/S27_NORGAARD_DINING_GIF_2_WEB.jpg', 'https://cdn.shopify.com/s/files/1/1920/4697/products/S27_SM19-LC_004.jpg']","{'variant_attributes': 'COLOR: LIGHT CHERRY', 'variant_title': 'LIGHT CHERRY', 'scraped_at': '2022-10-12T17:01:48.398Z', 'barcode': None, 'taxcode': None, 'stock_count': None, 'tags': ['Care_Wood', 'custom_order', 'FULLPRICE', 'ISP_NO_SPLIT', 'Room:Dining Room', 'type:Dining Tables', 'type:Extension Tables', 'type:Rectangular Tables'], 'weight': '136.6491 lb', 'requires_shipping': True, 'c_o_l_o_r': 'LIGHT CHERRY'}"
