post_url,price,location,post_title,source
https://www.ikea.com/sa/en/p/vattviken-armchair-bed-lerhaga-light-grey-50468953/,995,,VATTVIKEN,ikea
https://www.ikea.com/sa/en/p/slaekt-ext-bed-frame-with-slatted-bed-base-white-birch-s69326609/,540,,SLÄKT,ikea
https://www.ikea.com/sa/en/p/brimnes-bed-frame-w-storage-and-headboard-white-s59099136/,795,,BRIMNES,ikea
https://www.ikea.com/sa/en/p/neiden-bed-frame-pine-40395245/,99,,NEIDEN,ikea
https://www.ikea.com/sa/en/p/leirvik-bed-frame-white-loenset-s69277307/,1195,,LEIRVIK,ikea
https://www.ikea.com/sa/en/p/neiden-bed-frame-pine-70395239/,199,,NEIDEN,ikea
https://www.ikea.com/sa/en/p/hemnes-bed-frame-white-stain-s89931560/,675,,HEMNES,ikea
https://www.ikea.com/sa/en/p/slattum-upholstered-bed-frame-knisa-light-grey-30446373/,595,,SLATTUM,ikea
https://www.ikea.com/sa/en/p/neiden-bed-frame-pine-birch-luroey-s59248612/,199,,NEIDEN,ikea
https://www.ikea.com/sa/en/p/sagstua-bed-frame-white-s19254209/,545,,SAGSTUA,ikea
https://www.ikea.com/sa/en/p/brimnes-bed-frame-with-storage-white-20400691/,575,,BRIMNES,ikea
https://www.ikea.com/sa/en/p/askvoll-bed-frame-white-s39019701/,445,,ASKVOLL,ikea
https://www.ikea.com/sa/en/p/trysil-bed-frame-white-light-grey-s69912770/,525,,TRYSIL,ikea
https://www.ikea.com/sa/en/p/malm-bed-frame-high-white-s29931596/,495,,MALM,ikea
https://www.ikea.com/sa/en/p/ramsta-day-bed-frame-with-slatted-bed-base-white-s29179554/,445,,RAMSTA,ikea
https://www.ikea.com/sa/en/p/songesand-bed-frame-brown-s09241043/,395,,SONGESAND,ikea
https://www.ikea.com/sa/en/p/malm-bed-frame-high-w-2-storage-boxes-white-s19175957/,920,,MALM,ikea
https://www.ikea.com/sa/en/p/sniglar-bed-frame-with-slatted-bed-base-beech-s19185433/,195,,SNIGLAR,ikea
https://www.ikea.com/sa/en/p/lauvik-divan-bed-hamarvik-firm-firm-dark-beige-s39122072/,1729,,LAUVIK,ikea
https://www.ikea.com/sa/en/p/brimnes-bed-frame-with-storage-white-s79902935/,575,,BRIMNES,ikea
https://www.ikea.com/sa/en/p/hemnes-day-bed-frame-with-3-drawers-white-90349326/,1495,,HEMNES,ikea
https://www.ikea.com/sa/en/p/nesttun-bed-frame-white-s99157983/,595,,NESTTUN,ikea
https://www.ikea.com/sa/en/p/tyssedal-bed-frame-white-s69057522/,1395,,TYSSEDAL,ikea
https://www.ikea.com/sa/en/p/malm-bed-frame-high-w-2-storage-boxes-white-s79012991/,670,,MALM,ikea
https://www.ikea.com/sa/en/p/malm-bed-frame-high-white-00249487/,445,,MALM,ikea
https://www.ikea.com/sa/en/p/slaekt-bed-frame-with-underbed-and-storage-white-s89227731/,995,,SLÄKT,ikea
https://www.ikea.com/sa/en/p/ridabu-mirror-door-white-90331091/,100,,RIDABU,ikea
https://www.ikea.com/sa/en/p/kritter-bed-frame-with-slatted-bed-base-white-s69185435/,360,,KRITTER,ikea
https://www.ikea.com/sa/en/p/hemnes-bed-frame-with-4-storage-boxes-white-stain-s29194427/,1375,,HEMNES,ikea
https://www.ikea.com/sa/en/p/platsa-bed-frame-with-10-doors-white-s89305446/,2600.5,,PLATSA,ikea
https://www.ikea.com/sa/en/p/sagstua-bed-frame-white-loenset-s19259631/,745,,SAGSTUA,ikea
https://www.ikea.com/sa/en/p/sandvika-guest-bed-80017389/,295,,SANDVIKA,ikea
https://www.ikea.com/sa/en/p/neiden-bed-frame-pine-birch-luroey-s39248608/,399,,NEIDEN,ikea
https://www.ikea.com/sa/en/p/minnen-ext-bed-frame-with-slatted-bed-base-turquoise-s69323757/,395,,MINNEN,ikea
https://www.ikea.com/sa/en/p/slaekt-bed-frame-with-slatted-bed-base-white-s79227755/,375,,SLÄKT,ikea
https://www.ikea.com/sa/en/p/hammarn-sofa-bed-knisa-dark-grey-black-90354327/,399,,HAMMARN,ikea
https://www.ikea.com/sa/en/p/bjoerksnaes-bed-frame-birch-leirsund-s79247598/,2040,,BJÖRKSNÄS,ikea
https://www.ikea.com/sa/en/p/slaekt-pouffe-mattress-foldable-10362963/,425,,SLÄKT,ikea
https://www.ikea.com/sa/en/p/nordli-bed-frame-w-storage-and-headboard-white-s09241420/,2290,,NORDLI,ikea
https://www.ikea.com/sa/en/p/fyresdal-day-bed-frame-black-20424362/,549,,FYRESDAL,ikea
https://www.ikea.com/sa/en/p/songesand-bed-frame-with-2-storage-boxes-brown-s69241097/,570,,SONGESAND,ikea
https://www.ikea.com/sa/en/p/malm-bed-frame-high-w-4-storage-boxes-white-s39931609/,945,,MALM,ikea
https://www.ikea.com/sa/en/p/mydal-bunk-bed-frame-white-20467629/,895,,MYDAL,ikea
https://www.ikea.com/sa/en/p/tuffing-bunk-bed-frame-dark-grey-00239233/,475,,TUFFING,ikea
https://www.ikea.com/sa/en/p/saeboevik-divan-bed-grey-firm-s29239459/,1745,,SÄBÖVIK,ikea
https://www.ikea.com/sa/en/p/lycksele-storage-box-2-seat-sofa-bed-black-60116960/,100,,LYCKSELE,ikea
https://www.ikea.com/sa/en/p/tarva-bed-frame-pine-leirsund-s89019992/,871,,TARVA,ikea
https://www.ikea.com/sa/en/p/hemnes-bed-frame-white-stain-30249546/,695,,HEMNES,ikea
https://www.ikea.com/sa/en/p/hemnes-bed-frame-white-stain-loenset-s89019572/,995,,HEMNES,ikea
https://www.ikea.com/sa/en/p/busunge-extendable-bed-white-70305700/,795,,BUSUNGE,ikea
https://www.ikea.com/sa/en/p/markerad-day-bed-frame-pine-40433902/,480,,MARKERAD,ikea
https://www.ikea.com/sa/en/p/gjoera-bed-frame-birch-leirsund-s79129986/,1640,,GJÖRA,ikea
https://www.ikea.com/sa/en/p/utaker-stackable-bed-pine-00360484/,695,,UTÅKER,ikea
https://www.ikea.com/sa/en/p/bryne-net-white-44361010/,49,,BRYNE,ikea
https://www.ikea.com/sa/en/p/kura-reversible-bed-white-pine-80253809/,745,,KURA,ikea
https://www.ikea.com/sa/en/p/friheten-corner-sofa-bed-with-storage-skiftebo-dark-grey-s39216754/,1846,,FRIHETEN,ikea
https://www.ikea.com/sa/en/p/vitval-underbed-white-10448325/,295,,VITVAL,ikea
https://www.ikea.com/sa/en/p/luroey-slatted-bed-base-30160209/,100,,LURÖY,ikea
https://www.ikea.com/sa/en/p/sniglar-cot-beech-30248537/,295,,SNIGLAR,ikea
https://www.ikea.com/sa/en/p/hemnes-bed-frame-with-2-storage-boxes-white-stain-luroey-s29188822/,1145,,HEMNES,ikea
https://www.ikea.com/sa/en/p/hemnes-day-bed-frame-with-3-drawers-grey-60372276/,1495,,HEMNES,ikea
https://www.ikea.com/sa/en/p/malm-bed-frame-high-white-luroey-s19009562/,545,,MALM,ikea
https://www.ikea.com/sa/en/p/slaekt-underbed-with-storage-white-s99239451/,620,,SLÄKT,ikea
https://www.ikea.com/sa/en/p/delaktig-bed-frame-with-headboard-aluminium-rattan-s99287550/,2195,,DELAKTIG,ikea
https://www.ikea.com/sa/en/p/stuva-loft-bed-combo-w-2-shlvs-3-shlvs-white-s19268763/,1725,,STUVA,ikea
https://www.ikea.com/sa/en/p/lauvik-divan-bed-hamarvik-firm-dark-beige-s29250753/,2425,,LAUVIK,ikea
https://www.ikea.com/sa/en/p/vimle-cover-for-corner-sofa-bed-4-seat-with-open-end-dalstorp-multicolour-s49303393/,1400,,VIMLE,ikea
https://www.ikea.com/sa/en/p/kongsfjord-divan-bed-hyllestad-firm-tustna-dark-grey-s89186778/,8551,,KONGSFJORD,ikea
https://www.ikea.com/sa/en/p/nyhamn-sofa-bed-with-triple-cushion-with-foam-mattress-skiftebo-yellow-s09306416/,1470,,NYHAMN,ikea
https://www.ikea.com/sa/en/p/nyhamn-foam-mattress-firm-50340163/,450,,NYHAMN,ikea
https://www.ikea.com/sa/en/p/slaekt-bed-frame-w-storage-slatted-bedbase-white-s29291956/,1395,,SLÄKT,ikea
https://www.ikea.com/sa/en/p/askeby-two-seat-sofa-bed-black-70284203/,995,,ASKEBY,ikea
https://www.ikea.com/sa/en/p/brimnes-headboard-with-storage-compartment-white-20228709/,220,,BRIMNES,ikea
https://www.ikea.com/sa/en/p/sundvik-ext-bed-frame-with-slatted-bed-base-white-s49046068/,849,,SUNDVIK,ikea
https://www.ikea.com/sa/en/p/malm-ottoman-bed-white-20404806/,1595,,MALM,ikea
https://www.ikea.com/sa/en/p/hemnes-day-bed-w-3-drawers-2-mattresses-white-husvika-firm-s09186126/,2185,,HEMNES,ikea
https://www.ikea.com/sa/en/p/solgul-cradle-with-foam-mattress-white-70362427/,395,,SOLGUL,ikea
https://www.ikea.com/sa/en/p/mydal-bunk-bed-frame-pine-00102452/,795,,MYDAL,ikea
https://www.ikea.com/sa/en/p/nordli-bed-frame-with-storage-white-40349847/,1595,,NORDLI,ikea
https://www.ikea.com/sa/en/p/vikare-guard-rail-white-30099293/,95,,VIKARE,ikea
https://www.ikea.com/sa/en/p/delaktig-headboard-rattan-70426537/,595,,DELAKTIG,ikea
https://www.ikea.com/sa/en/p/tuffing-loft-bed-frame-dark-grey-90299449/,645,,TUFFING,ikea
https://www.ikea.com/sa/en/p/vallentuna-sofa-bed-module-with-backrests-orrsta-light-grey-s39277498/,1848,,VALLENTUNA,ikea
https://www.ikea.com/sa/en/p/vitval-desk-top-white-40411410/,200,,VITVAL,ikea
https://www.ikea.com/sa/en/p/platsa-bed-frame-with-10-drawers-white-fonnes-s89302914/,2307,,PLATSA,ikea
https://www.ikea.com/sa/en/p/platsa-bed-frame-with-storage-white-10453086/,1195,,PLATSA,ikea
https://www.ikea.com/sa/en/p/platsa-bed-frame-with-6-doors-12-drawers-white-fonnes-s09324284/,3339,,PLATSA,ikea
https://www.ikea.com/sa/en/p/vitval-bunk-bed-frame-with-underbed-white-light-grey-s19302922/,1590,,VITVAL,ikea
https://www.ikea.com/sa/en/p/busunge-extendable-bed-light-pink-90229017/,795,,BUSUNGE,ikea
https://www.ikea.com/sa/en/p/nyhamn-pocket-sprung-mattress-firm-80341496/,600,,NYHAMN,ikea
https://www.ikea.com/sa/en/p/brimnes-day-bed-frame-with-2-drawers-white-00228705/,1095,,BRIMNES,ikea
https://www.ikea.com/sa/en/p/songesand-bed-frame-with-4-storage-boxes-brown-loenset-s29241160/,1245,,SONGESAND,ikea
https://www.ikea.com/sa/en/p/lauvik-divan-bed-hamarvik-medium-firm-tuddal-dark-beige-s59167074/,2146,,LAUVIK,ikea
https://www.ikea.com/sa/en/p/slaekt-bed-frame-with-3-storage-boxes-white-s89386070/,1260,,SLÄKT,ikea
https://www.ikea.com/sa/en/p/svaerta-bunk-bed-frame-silver-colour-10247973/,895,,SVÄRTA,ikea
https://www.ikea.com/sa/en/p/vallentuna-4-seat-modular-sofa-w-3-sofa-beds-and-storage-murum-orrsta-black-olive-green-s99278070/,7796,,VALLENTUNA,ikea
https://www.ikea.com/sa/en/p/lycksele-murbo-two-seat-sofa-bed-ebbarp-black-white-s19166180/,1445,,LYCKSELE MURBO,ikea
https://www.ikea.com/sa/en/p/delaktig-bed-frame-headboard-2-side-tables-aluminium-rattan-s79288188/,2595,,DELAKTIG,ikea
https://www.ikea.com/sa/en/p/platsa-bed-frame-with-2-drawers-white-fonnes-s99302918/,1767,,PLATSA,ikea
https://www.ikea.com/sa/en/p/markerad-cover-for-day-bed-beige-60433901/,267,,MARKERAD,ikea
